"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IR3TIB","Short-term interest rates, Per cent per annum","FRA","France","A","Annual","2008","2008","PC","Percentage","0","Units",,,4.634233,,
"IR3TIB","Short-term interest rates, Per cent per annum","FRA","France","A","Annual","2009","2009","PC","Percentage","0","Units",,,1.228358,,
"IR3TIB","Short-term interest rates, Per cent per annum","FRA","France","A","Annual","2010","2010","PC","Percentage","0","Units",,,0.81095,,
"IR3TIB","Short-term interest rates, Per cent per annum","FRA","France","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.3906,,
"IR3TIB","Short-term interest rates, Per cent per annum","FRA","France","A","Annual","2012","2012","PC","Percentage","0","Units",,,0.5731834,,
"IR3TIB","Short-term interest rates, Per cent per annum","FRA","France","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.2206667,,
"IR3TIB","Short-term interest rates, Per cent per annum","FRA","France","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.2099333,,
"IR3TIB","Short-term interest rates, Per cent per annum","FRA","France","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.01936667,,
"IR3TIB","Short-term interest rates, Per cent per annum","FRA","France","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.2636917,,
"IR3TIB","Short-term interest rates, Per cent per annum","FRA","France","A","Annual","2017","2017","PC","Percentage","0","Units",,,-0.32905,,
"IR3TIB","Short-term interest rates, Per cent per annum","FRA","France","A","Annual","2018","2018","PC","Percentage","0","Units",,,-0.3220917,,
"IR3TIB","Short-term interest rates, Per cent per annum","FRA","France","A","Annual","2019","2019","PC","Percentage","0","Units",,,-0.3563333,,
"IRLT","Long-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2005","2005","PC","Percentage","0","Units",,,3.354017,,
"IRLT","Long-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.764125,,
"IRLT","Long-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2007","2007","PC","Percentage","0","Units",,,4.217113,,
"IRLT","Long-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2008","2008","PC","Percentage","0","Units",,,3.984804,,
"IRLT","Long-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2009","2009","PC","Percentage","0","Units",,,3.222218,,
"IRLT","Long-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2010","2010","PC","Percentage","0","Units",,,2.744305,,
"IRLT","Long-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2011","2011","PC","Percentage","0","Units",,,2.609223,,
"IRLT","Long-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2012","2012","PC","Percentage","0","Units",,,1.49513,,
"IRLT","Long-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2013","2013","PC","Percentage","0","Units",,,1.571408,,
"IRLT","Long-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.163512,,
"IRLT","Long-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.4953091,,
"IRLT","Long-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.09157856,,
"IRLT","Long-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.31638,,
"IRLT","Long-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.3964832,,
"IRLT","Long-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2019","2019","PC","Percentage","0","Units",,,-0.2536345,,
"IR3TIB","Short-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2005","2005","PC","Percentage","0","Units",,,2.184675,,
"IR3TIB","Short-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.079225,,
"IR3TIB","Short-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2007","2007","PC","Percentage","0","Units",,,4.277608,,
"IR3TIB","Short-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2008","2008","PC","Percentage","0","Units",,,4.634233,,
"IR3TIB","Short-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2009","2009","PC","Percentage","0","Units",,,1.228358,,
"IR3TIB","Short-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2010","2010","PC","Percentage","0","Units",,,0.81095,,
"IR3TIB","Short-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.3906,,
"IR3TIB","Short-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2012","2012","PC","Percentage","0","Units",,,0.5731834,,
"IR3TIB","Short-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.2206667,,
"IR3TIB","Short-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.2099333,,
"IR3TIB","Short-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.01936667,,
"IR3TIB","Short-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.2636917,,
"IR3TIB","Short-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2017","2017","PC","Percentage","0","Units",,,-0.32905,,
"IR3TIB","Short-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2018","2018","PC","Percentage","0","Units",,,-0.3220917,,
"IR3TIB","Short-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2019","2019","PC","Percentage","0","Units",,,-0.3563333,,
"IRLT","Long-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2005","2005","PC","Percentage","0","Units",,,3.374,,
"IRLT","Long-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.78075,,
"IRLT","Long-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2007","2007","PC","Percentage","0","Units",,,4.288167,,
"IRLT","Long-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2008","2008","PC","Percentage","0","Units",,,4.22675,,
"IRLT","Long-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2009","2009","PC","Percentage","0","Units",,,3.686833,,
"IRLT","Long-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2010","2010","PC","Percentage","0","Units",,,2.990083,,
"IRLT","Long-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2011","2011","PC","Percentage","0","Units",,,2.98875,,
"IRLT","Long-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2012","2012","PC","Percentage","0","Units",,,1.9335,,
"IRLT","Long-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2013","2013","PC","Percentage","0","Units",,,1.958917,,
"IRLT","Long-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.454667,,
"IRLT","Long-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.6903333,,
"IRLT","Long-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.2910833,,
"IRLT","Long-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.5220833,,
"IRLT","Long-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.5766667,,
"IRLT","Long-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2019","2019","PC","Percentage","0","Units",,,-0.07,,
"IR3TIB","Short-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2005","2005","PC","Percentage","0","Units",,,2.184675,,
"IR3TIB","Short-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.079225,,
"IR3TIB","Short-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2007","2007","PC","Percentage","0","Units",,,4.277608,,
"IR3TIB","Short-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2008","2008","PC","Percentage","0","Units",,,4.634233,,
"IR3TIB","Short-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2009","2009","PC","Percentage","0","Units",,,1.228358,,
"IR3TIB","Short-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2010","2010","PC","Percentage","0","Units",,,0.81095,,
"IR3TIB","Short-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.3906,,
"IR3TIB","Short-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2012","2012","PC","Percentage","0","Units",,,0.5731834,,
"IR3TIB","Short-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.2206667,,
"IR3TIB","Short-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.2099333,,
"IR3TIB","Short-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.01936667,,
"IR3TIB","Short-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.2636917,,
"IR3TIB","Short-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2017","2017","PC","Percentage","0","Units",,,-0.32905,,
"IR3TIB","Short-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2018","2018","PC","Percentage","0","Units",,,-0.3220917,,
"IR3TIB","Short-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2019","2019","PC","Percentage","0","Units",,,-0.3563333,,
