"COU","Country","IND","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","HPI_YDH","Price to income ratio","2005","2005","IDX","Index","0","Units",,,100.173000145627,,
"FRA","France","HPI_YDH","Price to income ratio","2005-Q1","Q1-2005","IDX","Index","0","Units",,,96.2503814158199,,
"FRA","France","HPI_YDH","Price to income ratio","2005-Q2","Q2-2005","IDX","Index","0","Units",,,98.9638382129717,,
"FRA","France","HPI_YDH","Price to income ratio","2005-Q3","Q3-2005","IDX","Index","0","Units",,,101.671529162154,,
"FRA","France","HPI_YDH","Price to income ratio","2005-Q4","Q4-2005","IDX","Index","0","Units",,,103.806251791561,,
"FRA","France","HPI_YDH","Price to income ratio","2006","2006","IDX","Index","0","Units",,,107.637122209352,,
"FRA","France","HPI_YDH","Price to income ratio","2006-Q1","Q1-2006","IDX","Index","0","Units",,,106.369899282288,,
"FRA","France","HPI_YDH","Price to income ratio","2006-Q2","Q2-2006","IDX","Index","0","Units",,,107.094514839174,,
"FRA","France","HPI_YDH","Price to income ratio","2006-Q3","Q3-2006","IDX","Index","0","Units",,,108.282324545897,,
"FRA","France","HPI_YDH","Price to income ratio","2006-Q4","Q4-2006","IDX","Index","0","Units",,,108.801750170047,,
"FRA","France","HPI_YDH","Price to income ratio","2007","2007","IDX","Index","0","Units",,,109.622780286991,,
"FRA","France","HPI_YDH","Price to income ratio","2007-Q1","Q1-2007","IDX","Index","0","Units",,,109.559185066731,,
"FRA","France","HPI_YDH","Price to income ratio","2007-Q2","Q2-2007","IDX","Index","0","Units",,,109.408958315516,,
"FRA","France","HPI_YDH","Price to income ratio","2007-Q3","Q3-2007","IDX","Index","0","Units",,,109.683672580482,,
"FRA","France","HPI_YDH","Price to income ratio","2007-Q4","Q4-2007","IDX","Index","0","Units",,,109.839305185234,,
"FRA","France","HPI_YDH","Price to income ratio","2008","2008","IDX","Index","0","Units",,,107.955061188082,,
"FRA","France","HPI_YDH","Price to income ratio","2008-Q1","Q1-2008","IDX","Index","0","Units",,,109.323079427362,,
"FRA","France","HPI_YDH","Price to income ratio","2008-Q2","Q2-2008","IDX","Index","0","Units",,,108.877128047245,,
"FRA","France","HPI_YDH","Price to income ratio","2008-Q3","Q3-2008","IDX","Index","0","Units",,,108.204028181565,,
"FRA","France","HPI_YDH","Price to income ratio","2008-Q4","Q4-2008","IDX","Index","0","Units",,,105.416009096158,,
"FRA","France","HPI_YDH","Price to income ratio","2009","2009","IDX","Index","0","Units",,,100.479032781297,,
"FRA","France","HPI_YDH","Price to income ratio","2009-Q1","Q1-2009","IDX","Index","0","Units",,,102.379573479518,,
"FRA","France","HPI_YDH","Price to income ratio","2009-Q2","Q2-2009","IDX","Index","0","Units",,,99.8064989119405,,
"FRA","France","HPI_YDH","Price to income ratio","2009-Q3","Q3-2009","IDX","Index","0","Units",,,99.4798111721461,,
"FRA","France","HPI_YDH","Price to income ratio","2009-Q4","Q4-2009","IDX","Index","0","Units",,,100.250247561582,,
"FRA","France","HPI_YDH","Price to income ratio","2010","2010","IDX","Index","0","Units",,,103.199414203824,,
"FRA","France","HPI_YDH","Price to income ratio","2010-Q1","Q1-2010","IDX","Index","0","Units",,,101.576017662609,,
"FRA","France","HPI_YDH","Price to income ratio","2010-Q2","Q2-2010","IDX","Index","0","Units",,,102.563567945546,,
"FRA","France","HPI_YDH","Price to income ratio","2010-Q3","Q3-2010","IDX","Index","0","Units",,,103.425274202616,,
"FRA","France","HPI_YDH","Price to income ratio","2010-Q4","Q4-2010","IDX","Index","0","Units",,,105.232797004524,,
"FRA","France","HPI_YDH","Price to income ratio","2011","2011","IDX","Index","0","Units",,,107.835194808492,,
"FRA","France","HPI_YDH","Price to income ratio","2011-Q1","Q1-2011","IDX","Index","0","Units",,,106.409205746685,,
"FRA","France","HPI_YDH","Price to income ratio","2011-Q2","Q2-2011","IDX","Index","0","Units",,,107.862619663684,,
"FRA","France","HPI_YDH","Price to income ratio","2011-Q3","Q3-2011","IDX","Index","0","Units",,,108.720830194889,,
"FRA","France","HPI_YDH","Price to income ratio","2011-Q4","Q4-2011","IDX","Index","0","Units",,,108.348123628711,,
"FRA","France","HPI_YDH","Price to income ratio","2012","2012","IDX","Index","0","Units",,,106.648218405089,,
"FRA","France","HPI_YDH","Price to income ratio","2012-Q1","Q1-2012","IDX","Index","0","Units",,,107.130669449036,,
"FRA","France","HPI_YDH","Price to income ratio","2012-Q2","Q2-2012","IDX","Index","0","Units",,,106.244836872028,,
"FRA","France","HPI_YDH","Price to income ratio","2012-Q3","Q3-2012","IDX","Index","0","Units",,,106.04317485639,,
"FRA","France","HPI_YDH","Price to income ratio","2012-Q4","Q4-2012","IDX","Index","0","Units",,,107.174192442901,,
"FRA","France","HPI_YDH","Price to income ratio","2013","2013","IDX","Index","0","Units",,,105.438819630728,,
"FRA","France","HPI_YDH","Price to income ratio","2013-Q1","Q1-2013","IDX","Index","0","Units",,,106.013126896857,,
"FRA","France","HPI_YDH","Price to income ratio","2013-Q2","Q2-2013","IDX","Index","0","Units",,,105.452856648077,,
"FRA","France","HPI_YDH","Price to income ratio","2013-Q3","Q3-2013","IDX","Index","0","Units",,,105.075692855284,,
"FRA","France","HPI_YDH","Price to income ratio","2013-Q4","Q4-2013","IDX","Index","0","Units",,,105.213602122697,,
"FRA","France","HPI_YDH","Price to income ratio","2014","2014","IDX","Index","0","Units",,,102.699788849068,,
"FRA","France","HPI_YDH","Price to income ratio","2014-Q1","Q1-2014","IDX","Index","0","Units",,,103.863821403006,,
"FRA","France","HPI_YDH","Price to income ratio","2014-Q2","Q2-2014","IDX","Index","0","Units",,,103.53112943571,,
"FRA","France","HPI_YDH","Price to income ratio","2014-Q3","Q3-2014","IDX","Index","0","Units",,,102.183737159272,,
"FRA","France","HPI_YDH","Price to income ratio","2014-Q4","Q4-2014","IDX","Index","0","Units",,,101.220467398283,,
"FRA","France","HPI_YDH","Price to income ratio","2015","2015","IDX","Index","0","Units",,,100,,
"FRA","France","HPI_YDH","Price to income ratio","2015-Q1","Q1-2015","IDX","Index","0","Units",,,100.6129740573,,
"FRA","France","HPI_YDH","Price to income ratio","2015-Q2","Q2-2015","IDX","Index","0","Units",,,100.116217619167,,
"FRA","France","HPI_YDH","Price to income ratio","2015-Q3","Q3-2015","IDX","Index","0","Units",,,99.7035171175561,,
"FRA","France","HPI_YDH","Price to income ratio","2015-Q4","Q4-2015","IDX","Index","0","Units",,,99.5672912059767,,
"FRA","France","HPI_YDH","Price to income ratio","2016","2016","IDX","Index","0","Units",,,99.4540719639041,,
"FRA","France","HPI_YDH","Price to income ratio","2016-Q1","Q1-2016","IDX","Index","0","Units",,,99.4431538203361,,
"FRA","France","HPI_YDH","Price to income ratio","2016-Q2","Q2-2016","IDX","Index","0","Units",,,99.478676113932,,
"FRA","France","HPI_YDH","Price to income ratio","2016-Q3","Q3-2016","IDX","Index","0","Units",,,99.3291062737149,,
"FRA","France","HPI_YDH","Price to income ratio","2016-Q4","Q4-2016","IDX","Index","0","Units",,,99.5653516476335,,
"FRA","France","HPI_YDH","Price to income ratio","2017","2017","IDX","Index","0","Units",,,100.370130461537,,
"FRA","France","HPI_YDH","Price to income ratio","2017-Q1","Q1-2017","IDX","Index","0","Units",,,100.142401559216,,
"FRA","France","HPI_YDH","Price to income ratio","2017-Q2","Q2-2017","IDX","Index","0","Units",,,100.339288982016,,
"FRA","France","HPI_YDH","Price to income ratio","2017-Q3","Q3-2017","IDX","Index","0","Units",,,100.762703149253,,
"FRA","France","HPI_YDH","Price to income ratio","2017-Q4","Q4-2017","IDX","Index","0","Units",,,100.236128155662,,
"FRA","France","HPI_YDH","Price to income ratio","2018","2018","IDX","Index","0","Units",,,100.813442061449,,
"FRA","France","HPI_YDH","Price to income ratio","2018-Q1","Q1-2018","IDX","Index","0","Units",,,101.080287777322,,
"FRA","France","HPI_YDH","Price to income ratio","2018-Q2","Q2-2018","IDX","Index","0","Units",,,100.585966287598,,
"FRA","France","HPI_YDH","Price to income ratio","2018-Q3","Q3-2018","IDX","Index","0","Units",,,101.047857641219,,
"FRA","France","HPI_YDH","Price to income ratio","2018-Q4","Q4-2018","IDX","Index","0","Units",,,100.539656539659,,
"FRA","France","HPI_YDH","Price to income ratio","2019","2019","IDX","Index","0","Units",,,101.770971959004,,
"FRA","France","HPI_YDH","Price to income ratio","2019-Q1","Q1-2019","IDX","Index","0","Units",,,100.776475785046,,
"FRA","France","HPI_YDH","Price to income ratio","2019-Q2","Q2-2019","IDX","Index","0","Units",,,101.700041887892,,
"FRA","France","HPI_YDH","Price to income ratio","2019-Q3","Q3-2019","IDX","Index","0","Units",,,102.048090893736,,
"FRA","France","HPI_YDH","Price to income ratio","2019-Q4","Q4-2019","IDX","Index","0","Units",,,102.559279269343,,
"FRA","France","HPI_YDH","Price to income ratio","2020-Q1","Q1-2020","IDX","Index","0","Units",,,104.836939834045,,
"FRA","France","HPI_YDH","Price to income ratio","2020-Q2","Q2-2020","IDX","Index","0","Units",,,109.045847802171,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2005","2005","IDX","Index","0","Units",,,86.5663328358416,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2005-Q1","Q1-2005","IDX","Index","0","Units",,,86.2948425214262,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2005-Q2","Q2-2005","IDX","Index","0","Units",,,86.3460824875516,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2005-Q3","Q3-2005","IDX","Index","0","Units",,,86.5941500725675,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2005-Q4","Q4-2005","IDX","Index","0","Units",,,87.0302562618212,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2006","2006","IDX","Index","0","Units",,,88.1736177956596,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2006-Q1","Q1-2006","IDX","Index","0","Units",,,87.525023199944,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2006-Q2","Q2-2006","IDX","Index","0","Units",,,87.9607503908439,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2006-Q3","Q3-2006","IDX","Index","0","Units",,,88.3453261327561,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2006-Q4","Q4-2006","IDX","Index","0","Units",,,88.8633714590942,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2007","2007","IDX","Index","0","Units",,,90.205520244862,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2007-Q1","Q1-2007","IDX","Index","0","Units",,,89.4728167303012,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2007-Q2","Q2-2007","IDX","Index","0","Units",,,90.1315895416957,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2007-Q3","Q3-2007","IDX","Index","0","Units",,,90.43394093901,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2007-Q4","Q4-2007","IDX","Index","0","Units",,,90.783733768441,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2008","2008","IDX","Index","0","Units",,,92.3370501915737,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2008-Q1","Q1-2008","IDX","Index","0","Units",,,91.1151554921303,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2008-Q2","Q2-2008","IDX","Index","0","Units",,,91.9526763863695,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2008-Q3","Q3-2008","IDX","Index","0","Units",,,92.8042648944503,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2008-Q4","Q4-2008","IDX","Index","0","Units",,,93.4761039933448,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2009","2009","IDX","Index","0","Units",,,94.6375351340616,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2009-Q1","Q1-2009","IDX","Index","0","Units",,,94.0943337531929,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2009-Q2","Q2-2009","IDX","Index","0","Units",,,94.5586837047263,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2009-Q3","Q3-2009","IDX","Index","0","Units",,,94.8425872622119,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2009-Q4","Q4-2009","IDX","Index","0","Units",,,95.0545358161153,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2010","2010","IDX","Index","0","Units",,,95.6918251077044,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2010-Q1","Q1-2010","IDX","Index","0","Units",,,95.3517237228302,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2010-Q2","Q2-2010","IDX","Index","0","Units",,,95.6063508405667,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2010-Q3","Q3-2010","IDX","Index","0","Units",,,95.696064187358,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2010-Q4","Q4-2010","IDX","Index","0","Units",,,96.1131616800625,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2011","2011","IDX","Index","0","Units",,,96.9501525762462,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2011-Q1","Q1-2011","IDX","Index","0","Units",,,96.6867910553864,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2011-Q2","Q2-2011","IDX","Index","0","Units",,,96.8323763473849,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2011-Q3","Q3-2011","IDX","Index","0","Units",,,96.9865429955875,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2011-Q4","Q4-2011","IDX","Index","0","Units",,,97.2948999066259,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2012","2012","IDX","Index","0","Units",,,97.5874450603138,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2012-Q1","Q1-2012","IDX","Index","0","Units",,,97.5945436659035,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2012-Q2","Q2-2012","IDX","Index","0","Units",,,97.6381379719005,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2012-Q3","Q3-2012","IDX","Index","0","Units",,,97.6143814807765,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2012-Q4","Q4-2012","IDX","Index","0","Units",,,97.5027171226748,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2013","2013","IDX","Index","0","Units",,,98.0358300491042,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2013-Q1","Q1-2013","IDX","Index","0","Units",,,97.4606225349159,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2013-Q2","Q2-2013","IDX","Index","0","Units",,,97.7827210065275,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2013-Q3","Q3-2013","IDX","Index","0","Units",,,98.268282398981,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2013-Q4","Q4-2013","IDX","Index","0","Units",,,98.6316942559925,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2014","2014","IDX","Index","0","Units",,,99.2104050197399,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2014-Q1","Q1-2014","IDX","Index","0","Units",,,98.8487727199784,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2014-Q2","Q2-2014","IDX","Index","0","Units",,,98.9561887684017,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2014-Q3","Q3-2014","IDX","Index","0","Units",,,99.3503640109255,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2014-Q4","Q4-2014","IDX","Index","0","Units",,,99.6862945796539,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2015","2015","IDX","Index","0","Units",,,100,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2015-Q1","Q1-2015","IDX","Index","0","Units",,,99.8716806780985,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2015-Q2","Q2-2015","IDX","Index","0","Units",,,100.057708181318,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2015-Q3","Q3-2015","IDX","Index","0","Units",,,100.145638664271,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2015-Q4","Q4-2015","IDX","Index","0","Units",,,99.9249724763123,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2016","2016","IDX","Index","0","Units",,,100.316694992083,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2016-Q1","Q1-2016","IDX","Index","0","Units",,,99.9910253087931,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2016-Q2","Q2-2016","IDX","Index","0","Units",,,100.214069516223,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2016-Q3","Q3-2016","IDX","Index","0","Units",,,100.331716406589,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2016-Q4","Q4-2016","IDX","Index","0","Units",,,100.729968736725,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2017","2017","IDX","Index","0","Units",,,101.383872465403,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2017-Q1","Q1-2017","IDX","Index","0","Units",,,101.043913572308,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2017-Q2","Q2-2017","IDX","Index","0","Units",,,101.28932323656,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2017-Q3","Q3-2017","IDX","Index","0","Units",,,101.5862383153,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2017-Q4","Q4-2017","IDX","Index","0","Units",,,101.616014737446,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2018","2018","IDX","Index","0","Units",,,101.752872456178,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2018-Q1","Q1-2018","IDX","Index","0","Units",,,101.621149289184,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2018-Q2","Q2-2018","IDX","Index","0","Units",,,101.667343685885,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2018-Q3","Q3-2018","IDX","Index","0","Units",,,101.805022495272,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2018-Q4","Q4-2018","IDX","Index","0","Units",,,101.917974354371,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2019","2019","IDX","Index","0","Units",,,102.274272443143,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2019-Q1","Q1-2019","IDX","Index","0","Units",,,101.989402901363,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2019-Q2","Q2-2019","IDX","Index","0","Units",,,102.117769998482,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2019-Q3","Q3-2019","IDX","Index","0","Units",,,102.286333211823,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2019-Q4","Q4-2019","IDX","Index","0","Units",,,102.703583660904,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2020","2020","IDX","Index","0","Units",,,103.106955751678,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2020-Q1","Q1-2020","IDX","Index","0","Units",,,103.048954997662,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2020-Q2","Q2-2020","IDX","Index","0","Units",,,103.206102159101,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2020-Q3","Q3-2020","IDX","Index","0","Units",,,103.120302675912,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2020-Q4","Q4-2020","IDX","Index","0","Units",,,103.052463174036,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2005","2005","1","RATIOS","0","Units",,,138.896570366323,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2005-Q1","Q1-2005","1","RATIOS","0","Units",,,137.749609024369,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2005-Q2","Q2-2005","1","RATIOS","0","Units",,,138.436412645803,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2005-Q3","Q3-2005","1","RATIOS","0","Units",,,139.536743463872,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2005-Q4","Q4-2005","1","RATIOS","0","Units",,,139.863516331247,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2006","2006","1","RATIOS","0","Units",,,141.479293000326,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2006-Q1","Q1-2006","1","RATIOS","0","Units",,,140.578364865363,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2006-Q2","Q2-2006","1","RATIOS","0","Units",,,141.709866642487,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2006-Q3","Q3-2006","1","RATIOS","0","Units",,,141.444787962216,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2006-Q4","Q4-2006","1","RATIOS","0","Units",,,142.18415253124,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2007","2007","1","RATIOS","0","Units",,,145.389457681328,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2007-Q1","Q1-2007","1","RATIOS","0","Units",,,143.356770919762,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2007-Q2","Q2-2007","1","RATIOS","0","Units",,,144.033894882497,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2007-Q3","Q3-2007","1","RATIOS","0","Units",,,146.694596285077,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2007-Q4","Q4-2007","1","RATIOS","0","Units",,,147.472568637974,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2008","2008","1","RATIOS","0","Units",,,146.175027967995,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2008-Q1","Q1-2008","1","RATIOS","0","Units",,,146.816187824256,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2008-Q2","Q2-2008","1","RATIOS","0","Units",,,146.66681748319,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2008-Q3","Q3-2008","1","RATIOS","0","Units",,,147.458668075173,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2008-Q4","Q4-2008","1","RATIOS","0","Units",,,143.758438489363,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2009","2009","1","RATIOS","0","Units",,,136.436608178709,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2009-Q1","Q1-2009","1","RATIOS","0","Units",,,141.540735439537,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2009-Q2","Q2-2009","1","RATIOS","0","Units",,,137.255110427553,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2009-Q3","Q3-2009","1","RATIOS","0","Units",,,133.83255031975,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2009-Q4","Q4-2009","1","RATIOS","0","Units",,,133.118036527995,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2010","2010","1","RATIOS","0","Units",,,131.150738281845,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2010-Q1","Q1-2010","1","RATIOS","0","Units",,,131.919853523681,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2010-Q2","Q2-2010","1","RATIOS","0","Units",,,131.735880285278,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2010-Q3","Q3-2010","1","RATIOS","0","Units",,,131.12258206196,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2010-Q4","Q4-2010","1","RATIOS","0","Units",,,129.824637256463,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2011","2011","1","RATIOS","0","Units",,,126.38912381425,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2011-Q1","Q1-2011","1","RATIOS","0","Units",,,129.110472762202,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2011-Q2","Q2-2011","1","RATIOS","0","Units",,,127.27178629438,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2011-Q3","Q3-2011","1","RATIOS","0","Units",,,125.91895684291,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2011-Q4","Q4-2011","1","RATIOS","0","Units",,,123.255279357507,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2012","2012","1","RATIOS","0","Units",,,115.258038883693,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2012-Q1","Q1-2012","1","RATIOS","0","Units",,,119.94217636886,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2012-Q2","Q2-2012","1","RATIOS","0","Units",,,117.818090014491,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2012-Q3","Q3-2012","1","RATIOS","0","Units",,,111.605468758601,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2012-Q4","Q4-2012","1","RATIOS","0","Units",,,111.666420392819,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2013","2013","1","RATIOS","0","Units",,,104.432698023029,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2013-Q1","Q1-2013","1","RATIOS","0","Units",,,107.680748846446,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2013-Q2","Q2-2013","1","RATIOS","0","Units",,,105.241929652541,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2013-Q3","Q3-2013","1","RATIOS","0","Units",,,102.754746114741,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2013-Q4","Q4-2013","1","RATIOS","0","Units",,,102.05336747839,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2014","2014","1","RATIOS","0","Units",,,100.750335673111,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2014-Q1","Q1-2014","1","RATIOS","0","Units",,,101.61333101692,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2014-Q2","Q2-2014","1","RATIOS","0","Units",,,101.852070335729,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2014-Q3","Q3-2014","1","RATIOS","0","Units",,,99.7425677205418,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2014-Q4","Q4-2014","1","RATIOS","0","Units",,,99.7933736192526,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2015","2015","1","RATIOS","0","Units",,,100.992410514783,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2015-Q1","Q1-2015","1","RATIOS","0","Units",,,99.9796479273078,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2015-Q2","Q2-2015","1","RATIOS","0","Units",,,100.594115026193,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2015-Q3","Q3-2015","1","RATIOS","0","Units",,,101.614429427519,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2015-Q4","Q4-2015","1","RATIOS","0","Units",,,101.781449678114,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2016","2016","1","RATIOS","0","Units",,,103.924756742795,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2016-Q1","Q1-2016","1","RATIOS","0","Units",,,102.335500495312,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2016-Q2","Q2-2016","1","RATIOS","0","Units",,,102.923800646898,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2016-Q3","Q3-2016","1","RATIOS","0","Units",,,104.699721310635,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2016-Q4","Q4-2016","1","RATIOS","0","Units",,,105.740004518337,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2017","2017","1","RATIOS","0","Units",,,109.787408569504,,
"NLD","Netherlands","HPI_RPI_AVG","Standardised price-rent ratio","2017-Q1","Q1-2017","1","RATIOS","0","Units",,,107.093192206883,,
